Sim, Time step, Color, X, Y, Reward, Move, Color, X, Y, Reward, Move, Color, X, Y, Reward, Move, Color, X, Y, Reward, Move, 
18, 8, green, 7, 5, -14, Go, red, 5, 5, -14, Go, white, 5, 9, -14, Exited, ,,,,, , 
18, 9, green, 8, 5, -16, Go, red, 5, 6, -16, Go, ,,,,, ,,,,, , 
18, 10, green, 9, 5, -18, Exited, red, 5, 7, -18, Go, ,,,,, ,,,,, , 
18, 11, ,,,,, red, 5, 8, -20, Go, ,,,,, ,,,,, , 
18, 12, ,,,,, red, 5, 9, -22, Exited, ,,,,, ,,,,, , 


19, 1, green, 1, 5, 0, Go, red, 5, 1, 0, Go, white, 5, 2, 0, Go, white, 5, 3, 0, Go, , 
19, 2, green, 2, 5, -2, Go, red, 5, 2, -2, Stop, white, 5, 3, -2, Go, white, 5, 4, -2, Go, , 
19, 3, green, 3, 5, -4, Go, red, 5, 2, -4, Stop, white, 5, 4, -4, Go, white, 5, 5, -4, Go, , 
19, 4, green, 4, 5, -6, Stop, red, 5, 2, -6, Stop, white, 5, 5, -6, Go, white, 5, 6, -6, Go, , 
19, 5, green, 4, 5, -8, Stop, red, 5, 2, -8, Go, white, 5, 6, -8, Go, white, 5, 7, -8, Go, , 
19, 6, green, 4, 5, -10, Go, red, 5, 3, -10, Go, white, 5, 7, -10, Go, white, 5, 8, -10, Go, , 
19, 7, green, 5, 5, -12, Go, red, 5, 4, -12, Go, white, 5, 8, -12, Go, white, 5, 9, -12, Exited, , 
19, 8, green, 6, 5, -14, Go, red, 5, 5, -14, Go, white, 5, 9, -14, Exited, ,,,,, , 
19, 9, green, 7, 5, -16, Go, red, 5, 6, -16, Go, ,,,,, ,,,,, , 
19, 10, green, 8, 5, -18, Go, red, 5, 7, -18, Go, ,,,,, ,,,,, , 
