Sim, Time step, Color, X, Y, Reward, Move, Color, X, Y, Reward, Move, 
20, 20, green, 5, 5, -38, Go, red, 5, 7, -38, Go, , 
20, 21, green, 6, 5, -40, Exited, red, 5, 8, -40, Exited, , 


21, 1, green, 1, 5, 0, Go, red, 5, 1, 0, Go, , 
21, 2, green, 2, 5, -2, Go, red, 5, 2, -2, Stop, , 
21, 3, green, 3, 5, -4, Go, red, 5, 2, -4, Go, , 
21, 4, green, 4, 5, -6, Go, red, 5, 3, -6, Stop, , 
21, 5, green, 5, 5, -8, Go, red, 5, 3, -8, Go, , 
21, 6, green, 6, 5, -10, Go, red, 5, 4, -10, Go, , 
21, 7, green, 7, 5, -12, Go, red, 5, 5, -12, Go, , 
21, 8, green, 8, 5, -14, Go, red, 5, 6, -14, Go, , 
21, 9, green, 9, 5, -16, Exited, red, 5, 7, -16, Go, , 
21, 10, ,,,,, red, 5, 8, -18, Go, , 
21, 11, ,,,,, red, 5, 9, -20, Exited, , 


22, 1, green, 1, 5, 0, Go, red, 5, 1, 0, Go, , 
22, 2, green, 2, 5, -2, Go, red, 5, 2, -2, Go, , 
22, 3, green, 3, 5, -4, Go, red, 5, 3, -4, Stop, , 
22, 4, green, 4, 5, -6, Go, red, 5, 3, -6, Go, , 
22, 5, green, 5, 5, -8, Go, red, 5, 4, -8, Go, , 
22, 6, green, 6, 5, -10, Go, red, 5, 5, -10, Go, , 
22, 7, green, 7, 5, -12, Go, red, 5, 6, -12, Go, , 
22, 8, green, 8, 5, -14, Go, red, 5, 7, -14, Go, , 
22, 9, green, 9, 5, -16, Exited, red, 5, 8, -16, Go, , 
22, 10, ,,,,, red, 5, 9, -18, Exited, , 


23, 1, green, 1, 5, 0, Go, red, 5, 1, 0, Go, , 
23, 2, green, 2, 5, -2, Go, red, 5, 2, -2, Stop, , 
23, 3, green, 3, 5, -4, Go, red, 5, 2, -4, Stop, , 
23, 4, green, 4, 5, -6, Go, red, 5, 2, -6, Stop, , 
23, 5, green, 5, 5, -8, Go, red, 5, 2, -8, Go, , 
23, 6, green, 6, 5, -10, Go, red, 5, 3, -10, Go, , 
23, 7, green, 7, 5, -12, Go, red, 5, 4, -12, Go, , 
23, 8, green, 8, 5, -14, Go, red, 5, 5, -14, Go, , 
23, 9, green, 9, 5, -16, Exited, red, 5, 6, -16, Go, , 
23, 10, ,,,,, red, 5, 7, -18, Go, , 
23, 11, ,,,,, red, 5, 8, -20, Go, , 
23, 12, ,,,,, red, 5, 9, -22, Exited, , 


24, 1, green, 1, 5, 0, Go, red, 5, 1, 0, Go, , 
24, 2, green, 2, 5, -2, Go, red, 5, 2, -2, Go, , 
24, 3, green, 3, 5, -4, Go, red, 5, 3, -4, Stop, , 
24, 4, green, 4, 5, -6, Stop, red, 5, 3, -6, Go, , 
